dataset_date,source_file,pivot_id,symbol,timeframe,pivot_index,confirmation_index,confirmation_delay,pivot_timestamp,confirmation_timestamp,pivot_side,structure_type,structure_mode,source,pivot_open,pivot_high,pivot_low,pivot_close,pivot_price,pivot_volume,pivot_range,pivot_body,upper_wick,lower_wick,candle_direction,close_position,confirm_open,confirm_high,confirm_low,confirm_close,confirm_volume,atr_14,range_atr_ratio,body_atr_ratio,price_to_confirm_close,volume_mean_20,volume_std_20,volume_ratio_20,volume_zscore_20,previous_pivot_type,previous_pivot_price,distance_previous_pivot,bars_previous_pivot,swing_size_atr,liquidity_type,liquidity_state,swept_index,resolved_index,last_structure_event,last_structure_event_direction,bars_since_structure_event,distance_last_structure_event_atr,bos_count_previous_20,choch_count_previous_20,near_equal_level,equal_level_type,distance_equal_level_atr,bars_since_equal_level,inside_fvg,nearest_fvg_type,distance_fvg_atr,fvg_size_atr,bars_since_fvg,fvg_mitigated,active_fvg_count_50,inside_order_block,nearest_ob_type,distance_ob_atr,ob_size_atr,bars_since_ob,ob_invalidated,active_ob_count_50,bsl_count_previous_100,ssl_count_previous_100,active_bsl_count,active_ssl_count,distance_nearest_bsl_atr,distance_nearest_ssl_atr,equal_levels_previous_100,liquidity_imbalance_100,target
2026-07-06,2026_07_06.csv,1,MARKET,1,2,2,0,2026-07-01T00:02:00-05:00,2026-07-01T00:02:00-05:00,LOW,L,external,ChartPrimeLow,30438.75,30441.75,30435.5,30436.75,30435.5,62,6.25,2,3,1.25,-1,0.2,30438.75,30441.75,30435.5,30436.75,62,0,0,0,0,69,5,0.898550724637681,-1.4,NONE,0,0,0,0,SSL,Resolved,21,21,NONE,NONE,-1,0,0,0,0,NONE,0,-1,0,NONE,0,0,-1,0,0,0,NONE,0,0,-1,0,0,0,1,0,1,0,0,0,-1,SWEEP
2026-07-06,2026_07_06.csv,2,MARKET,1,8,8,0,2026-07-01T00:08:00-05:00,2026-07-01T00:08:00-05:00,HIGH,H,external,ChartPrimeHigh,30459.75,30463,30457.5,30460,30463,28,5.5,0.25,3,2.25,1,0.454545454545455,30459.75,30463,30457.5,30460,28,0,0,0,0,48.875,15.6639514491076,0.572890025575448,-1.33267777724051,LOW,30435.5,27.5,6,0,BSL,Detected,-1,-1,NONE,NONE,-1,0,0,0,0,NONE,0,-1,0,BULLISH_FVG,0,0,0,0,3,0,NONE,0,0,-1,0,0,1,1,1,1,0,0,0,0,NONE
2026-07-06,2026_07_06.csv,3,MARKET,1,138,138,0,2026-07-01T02:18:00-05:00,2026-07-01T02:18:00-05:00,LOW,LL,external,ChartPrimeLow,30315.75,30316,30299,30312,30299,601,17,3.75,0.25,13,-1,0.764705882352941,30315.75,30316,30299,30312,601,12.0496702070041,1.41082699426233,0.311211836969632,-1.07886770149472,221.5,84.6377575317305,2.71331828442438,4.48381444720728,HIGH,30463,164,130,13.6103310034719,SSL,Resolved,454,454,BOS_DOWN,DOWN,116,11.3281108656946,0,0,0,EQL,9.19112291850312,71,0,BEARISH_FVG,3.11211836969632,0.207474557979755,3,1,3,0,BEARISH_OB,11.9712819954318,0.477191483353435,116,1,0,0,1,1,1,13.6103310034719,0,1,0,SWEEP
2026-07-06,2026_07_06.csv,4,MARKET,1,365,365,0,2026-07-01T06:05:00-05:00,2026-07-01T06:05:00-05:00,HIGH,LH,external,ChartPrimeHigh,30424.5,30435.25,30424.5,30429.25,30435.25,191,10.75,4.75,6,0,1,0.441860465116279,30424.5,30435.25,30424.5,30429.25,191,7.47954256640033,1.43725366953472,0.63506557491069,0.802188094624029,97.65,64.5579390934996,1.95596518177163,1.44598791892661,LOW,30299,136.25,227,18.216354648754,BSL,Detected,-1,-1,BOS_DOWN,DOWN,343,0.0334245039426679,0,0,1,EQL,0.735339086738693,336,1,BULLISH_FVG,0,0.701914582796025,324,1,3,0,BEARISH_OB,1.06958412616537,0.768763590681361,343,1,0,1,0,2,1,0,18.216354648754,0,0.333333333333333,NONE
2026-07-06,2026_07_06.csv,5,MARKET,1,515,515,0,2026-07-01T08:35:00-05:00,2026-07-01T08:35:00-05:00,LOW,LL,external,ChartPrimeLow,30117.25,30137,30087.75,30102.5,30087.75,3177,49.25,14.75,19.75,14.75,-1,0.299492385786802,30117.25,30137,30087.75,30102.5,3177,39.7964225540101,1.23754842368456,0.370636329935986,-0.370636329935986,1657.35,1974.63650515734,1.91691555796905,0.769584678512217,HIGH,30435.25,347.5,150,8.73194065442408,SSL,Resolved,897,899,BOS_DOWN,DOWN,59,5.30826608128658,0,0,0,EQH,4.95647566643209,38,0,BEARISH_FVG,1.63331264039587,0.339226471466835,0,0,1,0,BEARISH_OB,5.03185932675805,0.804092376810275,59,0,0,0,1,2,1,8.73194065442408,0,2,0.333333333333333,RUN
2026-07-06,2026_07_06.csv,6,MARKET,1,631,631,0,2026-07-01T10:31:00-05:00,2026-07-01T10:31:00-05:00,HIGH,LH,external,ChartPrimeHigh,30336.5,30356.5,30329.75,30352.25,30356.5,1045,26.75,15.75,4.25,6.75,1,0.841121495327103,30336.5,30356.5,30329.75,30352.25,1045,22.510540081949,1.18833221693559,0.699672239877966,0.188800445681356,992.35,282.323444828799,1.05305587746259,0.186488231722757,LOW,30087.75,268.75,116,11.9388517122034,BSL,Detected,-1,-1,BOS_DOWN,DOWN,175,2.55435897098305,0,0,1,EQH,0.366494982793221,436,1,BULLISH_FVG,0,0.244329988528814,200,1,5,0,BEARISH_OB,1.62146265114576,1.42155629689492,175,1,0,1,0,3,1,0,11.9388517122034,1,0.5,NONE
2026-07-06,2026_07_06.csv,7,MARKET,1,1084,1084,0,2026-07-01T19:04:00-05:00,2026-07-01T19:04:00-05:00,LOW,LL,external,ChartPrimeLow,29965,29981.5,29952.5,29957.25,29952.5,357,29,7.75,16.5,4.75,-1,0.163793103448276,29965,29981.5,29952.5,29957.25,357,19.4063782843445,1.49435405077077,0.399353237705981,-0.244764887626246,178.3,144.046554974425,2.00224340998317,1.24057114751358,HIGH,30356.5,404,453,20.8178978107376,SSL,Resolved,1455,1455,BOS_DOWN,DOWN,187,6.96935811609469,0,0,0,EQH,5.99029856558971,33,0,BEARISH_FVG,2.64088431386213,0.373588512692691,1,0,2,0,BEARISH_OB,7.83247640403988,1.42994223823754,187,0,0,0,1,3,1,20.8178978107376,0,1,0.5,SWEEP
2026-07-06,2026_07_06.csv,8,MARKET,1,1215,1215,0,2026-07-01T21:15:00-05:00,2026-07-01T21:15:00-05:00,HIGH,LH,external,ChartPrimeHigh,30230,30239.5,30229.75,30237.5,30239.5,218,9.75,7.5,2,0.25,1,0.794871794871795,30230,30239.5,30229.75,30237.5,218,9.89809415999581,0.98503811364067,0.757721625877438,0.202059100233984,91.55,39.4442327850346,2.38121245221191,3.20579185020873,LOW,29952.5,287,131,28.9954808835766,BSL,Resolved,1830,1832,BOS_DOWN,DOWN,318,15.3312342302535,0,0,0,EQH,4.59684453032312,738,1,BULLISH_FVG,0,1.13658243881616,601,1,2,0,BEARISH_OB,4.8999331806741,3.23294560374374,759,1,0,1,0,4,1,0,28.9954808835766,0,0.6,GRAB
2026-07-06,2026_07_06.csv,9,MARKET,1,1517,1517,0,2026-07-02T02:17:00-05:00,2026-07-02T02:17:00-05:00,LOW,LL,external,ChartPrimeLow,29850.75,29855,29826.25,29834.25,29826.25,311,28.75,16.5,4.25,8,-1,0.278260869565217,29850.75,29855,29826.25,29834.25,311,19.4828887166215,1.47565386314979,0.846896999720749,-0.410616727137333,231.65,88.4597507344442,1.34254262896611,0.897018127919085,HIGH,30239.5,413.25,302,21.2109203111879,SSL,Resolved,1962,1964,BOS_DOWN,DOWN,31,6.48004522513603,0,0,0,EQH,12.4468195413504,466,0,BULLISH_FVG,1.02654181784333,0.295130772629958,0,1,2,0,BEARISH_OB,7.1472974067342,0.461943818029499,31,0,1,0,1,4,1,21.2109203111879,0,0,0.6,RUN
2026-07-06,2026_07_06.csv,10,MARKET,1,1837,1837,0,2026-07-02T07:37:00-05:00,2026-07-02T07:37:00-05:00,HIGH,HH,external,ChartPrimeHigh,30306.5,30320,30288,30314.5,30320,798,32,8,5.5,18.5,1,0.828125,30306.5,30320,30288,30314.5,798,29.5069446400524,1.08449046115617,0.271122615289042,0.186396798011216,565.1,526.475820907285,1.41213944434613,0.442375491430241,LOW,29826.25,493.75,320,16.7333489123706,BSL,Detected,-1,-1,CHOCH_UP,UP,7,2.72817131634599,0,1,1,EQH,0.0423629086389128,1195,1,BEARISH_FVG,0,0.305012942200172,1211,1,7,1,BEARISH_OB,0,1.08449046115617,1381,1,1,1,0,4,1,0,16.7333489123706,1,0.6,NONE
